id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
5F5ZF6TQNeYF553eo4504x,韓流來襲(Live Version),MC Hot Dog,4,83.919,0.615,0.797,0.0,0.19699999999999998,0.165,1,-8.672,1,0.8440000000000001,0.507
6f3XC3Og0MzCl0NMa7GbY6,Time to Roll,國蛋,4,82.81700000000001,0.158,0.111,0.281,0.025,0.139,1,-16.878,1,0.23399999999999999,0.8009999999999999
2CpOxQv7kRhPLwARAJnnaf,"1, 2, 1, 2",國蛋,4,172.976,0.563,0.0973,0.0,0.0796,0.155,0,-11.344000000000001,3,0.615,0.602
1Kst8aDQqZnGadAU5U2DpT,入口,國蛋,4,96.417,0.379,0.105,0.0164,0.0305,0.155,0,-14.248,4,0.456,0.8320000000000001
0xUeiZlwePAaaHFKOXcHXE,Hotbox,國蛋,4,87.815,0.517,0.314,0.0,0.31,0.0783,1,-10.581,2,0.534,0.902
5yPIxLa3u9Hdv9Tj1cxk2Q,療程,國蛋,4,88.51,0.14,0.106,0.251,0.0366,0.0757,1,-11.839,1,0.31,0.828
6CUmc6HrzryJG7L89XkLb8,就Lay Back,國蛋,4,166.385,0.595,0.0416,6.11e-05,0.34600000000000003,0.32299999999999995,0,-9.576,10,0.36700000000000005,0.8029999999999999
4LiJm1009zvbligrgZ1wPv,Never Say No,國蛋,4,92.507,0.46299999999999997,0.11900000000000001,0.665,0.44299999999999995,0.0396,0,-13.2,11,0.47700000000000004,0.735
08MtFcOKhE7XSV0DSQ1coW,還沒睡,國蛋,4,127.23899999999999,0.598,0.10800000000000001,0.000338,0.0451,0.179,1,-10.535,1,0.486,0.867
2E6ZE0QN88EqnR75llokWF,嘻哈囝,國蛋,4,179.93200000000002,0.324,0.22699999999999998,0.0,0.013999999999999999,0.212,0,-7.022,4,0.667,0.7170000000000001
0KuCCBwNEX4SR7k4lGseVf,紐約鄰居,國蛋,4,125.397,0.623,0.111,0.0034,0.0823,0.138,1,-9.526,7,0.523,0.847
5NYMKEcaapPQdxu1jFdveW,睡吧寶貝,國蛋,4,91.618,0.21899999999999997,0.0972,0.00164,0.0352,0.0487,1,-5.787000000000001,8,0.759,0.659
2rifkC8Bs7Rc77Tqc3Dwqy,Dope Rap Part 3 (Big Deal),國蛋,4,116.24600000000001,0.69,0.22899999999999998,0.0,0.04,0.261,1,-10.311,2,0.633,0.738
626ySyJ2ipo2ElDMEGpG3i,Wanna Fly High,國蛋,4,89.99,0.45899999999999996,0.133,0.0,0.0654,0.0885,0,-9.767999999999999,1,0.721,0.726
